gene	measurement	outlier_threshold1	percent_accurate_mean1	outlier_threshold2	percent_accurate_mean2	outlier_threshold3	percent_accurate_mean3	outlier_threshold4	percent_accurate_mean4
NONO	9.96254902292	9.93672448396683	NA	9.33790898323059	NA	NA	NA	9.8486328125	NA
NOP16	6.22091032165	6.38153856992722	NA	5.7130800485611	NA	NA	NA	5.79147338867188	NA
NRBP1	7.86369071366	7.90299087762833	NA	7.01303470134735	NA	NA	NA	7.29459285736084	NA
NSRP1	6.05224198118	6.26073008775711	NA	5.89185118675232	NA	NA	NA	5.88903570175171	NA
NT5C3B	7.55681257086	7.3859698176384	NA	7.39224481582642	NA	NA	NA	7.39339280128479	NA
NTS	5.78502736224	1.14850783720613	NA	0.566591210663319	NA	NA	NA	1.48637130856514	NA
NUB1	6.71121955689	6.86029505729675	NA	6.61960446834564	NA	NA	NA	6.64636707305908	NA
NUDT1	7.4620523188	8.16280472278595	NA	7.05928432941437	NA	NA	NA	7.21835732460022	NA
NUDT21	6.87676249078	7.21032494306564	NA	6.68783640861511	NA	NA	NA	6.86930227279663	NA
NUP93	6.75608924737	6.98710781335831	NA	6.21193754673004	NA	NA	NA	6.62654829025269	NA
NUTF2	7.79044624804	7.7662792801857	NA	7.75107884407043	NA	NA	NA	7.96878862380981	NA
OARD1	6.17412673742	5.58506697416306	NA	5.94435024261475	NA	NA	NA	5.94655132293701	NA
OSGEP	6.81211311298	6.84822189807892	NA	6.75228023529053	NA	NA	NA	6.80628895759583	NA
OXA1L	7.41362792902	7.78423827886581	NA	7.13674402236938	NA	NA	NA	7.33040046691895	NA
PABPN1	8.5351198216	8.56903433799744	NA	8.12301778793335	NA	NA	NA	8.30953931808472	NA
PAK1IP1	5.81326814177	5.25933957099915	NA	5.15628385543823	NA	NA	NA	5.26945984363556	NA
PARP1	7.95407995932	8.27760529518127	NA	7.77490901947021	NA	NA	NA	7.92052221298218	NA
PARP2	6.79688323324	7.01827472448349	NA	6.61728739738464	NA	NA	NA	6.47985482215881	NA
PBDC1	6.22438762793	6.26566237211227	NA	5.68252289295197	NA	NA	NA	5.74411869049072	NA
PBX2	7.30314143786	7.48248237371445	NA	6.29312086105347	NA	NA	NA	6.73132705688477	NA
PDCL3	6.11582397744	6.01596403121948	NA	5.56615877151489	NA	NA	NA	5.7644054889679	NA
PDHA1	7.9267110991	8.28276395797729	NA	7.69200396537781	NA	NA	NA	7.72700476646423	NA
PFDN6	7.8742436792	7.81340706348419	NA	7.47748649120331	NA	NA	NA	7.66628503799438	NA
PIP5K1A	7.07156962214	7.12911862134933	NA	6.14824521541595	NA	NA	NA	6.4295608997345	NA
PLAGL1	6.84937382267	9.53091952204704	NA	4.07374328374863	NA	NA	NA	5.89752435684204	NA
PNN	7.87190523766	9.00548851490021	NA	6.95521295070648	NA	NA	NA	7.19646763801575	NA
POLB	6.48751850607	6.57711786031723	NA	5.48421192169189	NA	NA	NA	6.0145800113678	NA
POLR1C	5.83137058797	5.99861639738083	NA	5.74505650997162	NA	NA	NA	5.76725244522095	NA
POLR2D	5.98390566263	5.99540987610817	NA	5.39281290769577	NA	NA	NA	5.64363467693329	NA
POLR3D	6.2789140195	6.40054547786713	NA	5.61367428302765	NA	NA	NA	5.78026115894318	NA
PPAN	6.49952702422	6.8122683763504	NA	6.30875039100647	NA	NA	NA	6.3410964012146	NA
PPIA	12.4036298847	12.0627262592316	NA	11.8187329769135	NA	NA	NA	12.2389426231384	NA
PPIH	7.24631306996	6.96891438961029	NA	6.87701022624969	NA	NA	NA	7.4604172706604	NA
PPIL1	6.87823487911	6.31262600421906	NA	6.63787281513214	NA	NA	NA	6.73925018310547	NA
PPM1G	7.97171597732	7.27921432256699	NA	7.17710542678833	NA	NA	NA	7.31220746040344	NA
PPP6R1	7.03979640762	6.54956459999084	NA	6.31254577636719	NA	NA	NA	6.2646267414093	NA
PPP6R3	6.23476954003	6.9572662115097	NA	6.03755211830139	NA	NA	NA	6.18559718132019	NA
PRAME	7.99186193056	16.4216864798218	NA	0.488497875630856	NA	NA	NA	2.98246536729857	NA
